"disease","year","variable","value","outcome","view"
"HepB",2000,"all-all-all-deaths_averted_mean",4831.45289,"impact","A"
"HepB",2001,"all-all-all-deaths_averted_mean",6444.9322025,"impact","A"
"HepB",2002,"all-all-all-deaths_averted_mean",8547.1524225,"impact","A"
"HepB",2003,"all-all-all-deaths_averted_mean",10995.17199,"impact","A"
"HepB",2004,"all-all-all-deaths_averted_mean",14080.8615375,"impact","A"
"HepB",2005,"all-all-all-deaths_averted_mean",17263.1324375,"impact","A"
"HepB",2006,"all-all-all-deaths_averted_mean",20612.2817025,"impact","A"
"HepB",2007,"all-all-all-deaths_averted_mean",24314.2352825,"impact","A"
"HepB",2008,"all-all-all-deaths_averted_mean",28467.6719025,"impact","A"
"HepB",2009,"all-all-all-deaths_averted_mean",33445.7871825,"impact","A"
"HepB",2010,"all-all-all-deaths_averted_mean",38012.5994025,"impact","A"
"HepB",2011,"all-all-all-deaths_averted_mean",42969.253075,"impact","A"
"HepB",2012,"all-all-all-deaths_averted_mean",48647.4622375,"impact","A"
"HepB",2013,"all-all-all-deaths_averted_mean",54711.520805,"impact","A"
"HepB",2014,"all-all-all-deaths_averted_mean",61269.3102375,"impact","A"
"HepB",2015,"all-all-all-deaths_averted_mean",68588.1280325,"impact","A"
"HepB",2016,"all-all-all-deaths_averted_mean",76773.455225,"impact","A"
"HepB",2017,"all-all-all-deaths_averted_mean",85688.8183825,"impact","A"
"HepB",2018,"all-all-all-deaths_averted_mean",95499.61136,"impact","A"
"HepB",2019,"all-all-all-deaths_averted_mean",106243.12445,"impact","A"
"HepB",2020,"all-all-all-deaths_averted_mean",117972.68243,"impact","A"
"HepB",2021,"all-all-all-deaths_averted_mean",130638.26987,"impact","A"
"HepB",2022,"all-all-all-deaths_averted_mean",144242.662195,"impact","A"
"HepB",2023,"all-all-all-deaths_averted_mean",158830.227185,"impact","A"
"HepB",2024,"all-all-all-deaths_averted_mean",174389.964625,"impact","A"
"HepB",2025,"all-all-all-deaths_averted_mean",190844.96046,"impact","A"
"HepB",2026,"all-all-all-deaths_averted_mean",208136.763445,"impact","A"
"HepB",2027,"all-all-all-deaths_averted_mean",226236.153815,"impact","A"
"HepB",2028,"all-all-all-deaths_averted_mean",245125.738995,"impact","A"
"HepB",2029,"all-all-all-deaths_averted_mean",264791.49662,"impact","A"
"HepB",2030,"all-all-all-deaths_averted_mean",285164.044515,"impact","A"
"Hib",2000,"Hib3-routine-deaths_averted_mean",562.174852575,"impact","A"
"Hib",2001,"Hib3-routine-deaths_averted_mean",1023.699144845,"impact","A"
"Hib",2002,"Hib3-routine-deaths_averted_mean",6205.2654229475,"impact","A"
"Hib",2003,"Hib3-routine-deaths_averted_mean",9126.3945194825,"impact","A"
"Hib",2004,"Hib3-routine-deaths_averted_mean",12083.1705509525,"impact","A"
"Hib",2005,"Hib3-routine-deaths_averted_mean",15197.8427534975,"impact","A"
"Hib",2006,"Hib3-routine-deaths_averted_mean",19395.22464392,"impact","A"
"Hib",2007,"Hib3-routine-deaths_averted_mean",28813.575920255,"impact","A"
"Hib",2008,"Hib3-routine-deaths_averted_mean",38618.2553614525,"impact","A"
"Hib",2009,"Hib3-routine-deaths_averted_mean",71029.1270056125,"impact","A"
"Hib",2010,"Hib3-routine-deaths_averted_mean",88608.637943143,"impact","A"
"Hib",2011,"Hib3-routine-deaths_averted_mean",96575.5497610983,"impact","A"
"Hib",2012,"Hib3-routine-deaths_averted_mean",103357.020992623,"impact","A"
"Hib",2013,"Hib3-routine-deaths_averted_mean",120954.039334125,"impact","A"
"Hib",2014,"Hib3-routine-deaths_averted_mean",133183.945972282,"impact","A"
"Hib",2015,"Hib3-routine-deaths_averted_mean",147302.203111045,"impact","A"
"Hib",2016,"Hib3-routine-deaths_averted_mean",164557.260811291,"impact","A"
"Hib",2017,"Hib3-routine-deaths_averted_mean",173872.05483413,"impact","A"
"Hib",2018,"Hib3-routine-deaths_averted_mean",178123.648093431,"impact","A"
"Hib",2019,"Hib3-routine-deaths_averted_mean",181209.503014647,"impact","A"
"Hib",2020,"Hib3-routine-deaths_averted_mean",182981.400130514,"impact","A"
"Hib",2021,"Hib3-routine-deaths_averted_mean",183209.370097167,"impact","A"
"Hib",2022,"Hib3-routine-deaths_averted_mean",183186.826280189,"impact","A"
"Hib",2023,"Hib3-routine-deaths_averted_mean",182850.776675347,"impact","A"
"Hib",2024,"Hib3-routine-deaths_averted_mean",182343.047084033,"impact","A"
"Hib",2025,"Hib3-routine-deaths_averted_mean",181759.803065646,"impact","A"
"Hib",2026,"Hib3-routine-deaths_averted_mean",181105.011913462,"impact","A"
"Hib",2027,"Hib3-routine-deaths_averted_mean",180415.738519478,"impact","A"
"Hib",2028,"Hib3-routine-deaths_averted_mean",179653.562702787,"impact","A"
"Hib",2029,"Hib3-routine-deaths_averted_mean",179369.334770108,"impact","A"
"Hib",2030,"Hib3-routine-deaths_averted_mean",179311.342615791,"impact","A"
"HPV",2000,"all-all-deaths_averted_mean",-131.3709999975,"impact","A"
"HPV",2001,"all-all-deaths_averted_mean",-135.161425,"impact","A"
"HPV",2002,"all-all-deaths_averted_mean",-139.090225,"impact","A"
"HPV",2003,"all-all-deaths_averted_mean",-143.1993,"impact","A"
"HPV",2004,"all-all-deaths_averted_mean",-147.511,"impact","A"
"HPV",2005,"all-all-deaths_averted_mean",-151.624875,"impact","A"
"HPV",2006,"all-all-deaths_averted_mean",-155.964225,"impact","A"
"HPV",2007,"all-all-deaths_averted_mean",-160.5026,"impact","A"
"HPV",2008,"all-all-deaths_averted_mean",-165.20625,"impact","A"
"HPV",2009,"all-all-deaths_averted_mean",-170.06575,"impact","A"
"HPV",2010,"all-all-deaths_averted_mean",-174.7714,"impact","A"
"HPV",2011,"all-all-deaths_averted_mean",-179.6417,"impact","A"
"HPV",2012,"all-all-deaths_averted_mean",-184.68705,"impact","A"
"HPV",2013,"all-all-deaths_averted_mean",-189.944475,"impact","A"
"HPV",2014,"all-all-deaths_averted_mean",-195.444575,"impact","A"
"HPV",2015,"all-all-deaths_averted_mean",-200.793425,"impact","A"
"HPV",2016,"all-all-deaths_averted_mean",-206.41595,"impact","A"
"HPV",2017,"all-all-deaths_averted_mean",-210.0426425,"impact","A"
"HPV",2018,"all-all-deaths_averted_mean",-214.41739,"impact","A"
"HPV",2019,"all-all-deaths_averted_mean",-217.8584775,"impact","A"
"HPV",2020,"all-all-deaths_averted_mean",-199.5143425,"impact","A"
"HPV",2021,"all-all-deaths_averted_mean",-142.6424765,"impact","A"
"HPV",2022,"all-all-deaths_averted_mean",-76.601751825,"impact","A"
"HPV",2023,"all-all-deaths_averted_mean",31.7658490125,"impact","A"
"HPV",2024,"all-all-deaths_averted_mean",164.0864616825,"impact","A"
"HPV",2025,"all-all-deaths_averted_mean",309.5816989125,"impact","A"
"HPV",2026,"all-all-deaths_averted_mean",452.01175047,"impact","A"
"HPV",2027,"all-all-deaths_averted_mean",618.425165685,"impact","A"
"HPV",2028,"all-all-deaths_averted_mean",831.0182502025,"impact","A"
"HPV",2029,"all-all-deaths_averted_mean",1027.3898072125,"impact","A"
"HPV",2030,"all-all-deaths_averted_mean",1269.835861355,"impact","A"
"JE",2000,"all-all-deaths_averted_mean",-5.8825,"impact","A"
"JE",2001,"all-all-deaths_averted_mean",4.0875,"impact","A"
"JE",2002,"all-all-deaths_averted_mean",-4.405,"impact","A"
"JE",2003,"all-all-deaths_averted_mean",-3.6,"impact","A"
"JE",2004,"all-all-deaths_averted_mean",4.0425,"impact","A"
"JE",2005,"all-all-deaths_averted_mean",11.28722,"impact","A"
"JE",2006,"all-all-deaths_averted_mean",299.30951475,"impact","A"
"JE",2007,"all-all-deaths_averted_mean",689.5304615,"impact","A"
"JE",2008,"all-all-deaths_averted_mean",1042.78069475,"impact","A"
"JE",2009,"all-all-deaths_averted_mean",1432.9838445,"impact","A"
"JE",2010,"all-all-deaths_averted_mean",2864.461078,"impact","A"
"JE",2011,"all-all-deaths_averted_mean",4056.90514,"impact","A"
"JE",2012,"all-all-deaths_averted_mean",5045.59612275,"impact","A"
"JE",2013,"all-all-deaths_averted_mean",6001.60570725,"impact","A"
"JE",2014,"all-all-deaths_averted_mean",6789.625278,"impact","A"
"JE",2015,"all-all-deaths_averted_mean",7533.5763955,"impact","A"
"JE",2016,"all-all-deaths_averted_mean",8291.1990435,"impact","A"
"JE",2017,"all-all-deaths_averted_mean",9252.810759,"impact","A"
"JE",2018,"all-all-deaths_averted_mean",10405.044309,"impact","A"
"JE",2019,"all-all-deaths_averted_mean",10950.8935735,"impact","A"
"JE",2020,"all-all-deaths_averted_mean",11989.13489275,"impact","A"
"JE",2021,"all-all-deaths_averted_mean",12579.1798290575,"impact","A"
"JE",2022,"all-all-deaths_averted_mean",13445.116007765,"impact","A"
"JE",2023,"all-all-deaths_averted_mean",14139.7342647475,"impact","A"
"JE",2024,"all-all-deaths_averted_mean",14734.1611151225,"impact","A"
"JE",2025,"all-all-deaths_averted_mean",15242.096165985,"impact","A"
"JE",2026,"all-all-deaths_averted_mean",15753.4321147075,"impact","A"
"JE",2027,"all-all-deaths_averted_mean",16162.110749235,"impact","A"
"JE",2028,"all-all-deaths_averted_mean",16522.192785585,"impact","A"
"JE",2029,"all-all-deaths_averted_mean",16845.3638063,"impact","A"
"JE",2030,"all-all-deaths_averted_mean",17130.091555355,"impact","A"
"Measles",2000,"all-all-deaths_averted_mean",1091354.24040361,"impact","A"
"Measles",2001,"all-all-deaths_averted_mean",1124415.00766962,"impact","A"
"Measles",2002,"all-all-deaths_averted_mean",1105978.09437678,"impact","A"
"Measles",2003,"all-all-deaths_averted_mean",1110371.32716361,"impact","A"
"Measles",2004,"all-all-deaths_averted_mean",1288518.01926436,"impact","A"
"Measles",2005,"all-all-deaths_averted_mean",1362013.25309947,"impact","A"
"Measles",2006,"all-all-deaths_averted_mean",1546779.62741438,"impact","A"
"Measles",2007,"all-all-deaths_averted_mean",1476498.00491083,"impact","A"
"Measles",2008,"all-all-deaths_averted_mean",1743808.22308515,"impact","A"
"Measles",2009,"all-all-deaths_averted_mean",1629021.31340725,"impact","A"
"Measles",2010,"all-all-deaths_averted_mean",1716515.42627792,"impact","A"
"Measles",2011,"all-all-deaths_averted_mean",1782318.54990615,"impact","A"
"Measles",2012,"all-all-deaths_averted_mean",1953006.93219946,"impact","A"
"Measles",2013,"all-all-deaths_averted_mean",1874443.12734717,"impact","A"
"Measles",2014,"all-all-deaths_averted_mean",2003645.25836246,"impact","A"
"Measles",2015,"all-all-deaths_averted_mean",1911145.51154122,"impact","A"
"Measles",2016,"all-all-deaths_averted_mean",1912282.67065766,"impact","A"
"Measles",2017,"all-all-deaths_averted_mean",2072564.8943113,"impact","A"
"Measles",2018,"all-all-deaths_averted_mean",2047459.21435508,"impact","A"
"Measles",2019,"all-all-deaths_averted_mean",2053675.04444302,"impact","A"
"Measles",2020,"all-all-deaths_averted_mean",2101818.22376295,"impact","A"
"Measles",2021,"all-all-deaths_averted_mean",2115425.08971354,"impact","A"
"Measles",2022,"all-all-deaths_averted_mean",2040632.15788311,"impact","A"
"Measles",2023,"all-all-deaths_averted_mean",2117727.45513798,"impact","A"
"Measles",2024,"all-all-deaths_averted_mean",2097200.64349034,"impact","A"
